accreditation_code,power_station_name,state,installed_capacity,postcode,fuel_source_s,accreditation_start_date,suspension_status,baseline_mwh,comment,accreditation_start_year,power_station_name_key,power_station_name_canonical,power_station_name_core,fuel_family,source_file
SRPXVCR0,Puopolo Smallgoods-Solar-VIC,VIC,0.3089,3026,Solar,2025-04-16,Unsuspended,0,,2025,puopolo smallgoods solar vic,puopolo smallgoods solar,puopolo smallgoods,solar,cer_historical_accredited_power_stations.csv
SRPVVCH5,Pureharvest - Solar - VIC,VIC,0.8799,3818,Solar,2019-03-04,Unsuspended,0,,2019,pureharvest solar vic,pureharvest,pureharvest,solar,cer_historical_accredited_power_stations.csv
SRPVVC91,Pyramid Salt Pyramid Hill Solar - VIC,VIC,0.2996,3575,Solar,2018-04-27,Unsuspended,0,,2018,pyramid salt pyramid hill solar vic,pyramid salt pyramid hill solar,pyramid salt pyramid hill,solar,cer_historical_accredited_power_stations.csv
SRPXVC09,QIC Watergardens - SOLAR - VIC,VIC,2.4524,3038,Solar,2021-01-15,Unsuspended,0,,2021,qic watergardens solar vic,qic watergardens,qic watergardens,solar,cer_historical_accredited_power_stations.csv
SRPVVC03,Queen Victoria Market,VIC,0.1992,3000,Solar,2002-11-29,Suspended,0,,2002,queen victoria market,queen victoria market,queen victoria market,solar,cer_historical_accredited_power_stations.csv
SRPXVCE5,Quest Carpets Dandenong South - Solar w SGU - VIC,VIC,0.3006,3175,Solar,2023-07-04,Unsuspended,0,,2023,quest carpets dandenong south solar w sgu vic,quest carpets dandenong south,quest carpets dandenong south,solar,cer_historical_accredited_power_stations.csv
SRPVVCY5,RACV Cape Schanck - Solar wSGU - VIC,VIC,0.2654,3939,Solar,2020-10-13,Unsuspended,0,,2020,racv cape schanck solar wsgu vic,racv cape schanck,racv cape schanck,solar,cer_historical_accredited_power_stations.csv
SRPVVCW4,RACV Healesville Country Club - Solar - VIC,VIC,0.3699,3777,Solar,2020-07-07,Unsuspended,0,,2020,racv healesville country club solar vic,racv healesville country club,racv healesville country club,solar,cer_historical_accredited_power_stations.csv
SRPVVCW2,RACV Noble Park - Solar - VIC,VIC,0.6002,3174,Solar,2020-07-07,Unsuspended,0,,2020,racv noble park solar vic,racv noble park,racv noble park,solar,cer_historical_accredited_power_stations.csv
SRPVVCW5,RACV Torquay Resort - Solar - VIC,VIC,0.5158,3228,Solar,2020-07-07,Unsuspended,0,,2020,racv torquay resort solar vic,racv torquay resort,racv torquay resort,solar,cer_historical_accredited_power_stations.csv
BEBGVC20,REWASTE WOLLERT - VIC,VIC,1.06,3750,Biomass,2017-09-07,Unsuspended,0,,2017,rewaste wollert vic,rewaste wollert,rewaste wollert,bioenergy,cer_historical_accredited_power_stations.csv
SRPXVCM2,RK & JR GORDON - Solar - VIC,VIC,0.102,3568,Solar,2024-05-20,Unsuspended,0,,2024,rk and jr gordon solar vic,rk and jr gordon,rk and jr gordon,solar,cer_historical_accredited_power_stations.csv
SRPVVCK4,Radio Frequency Systems Kilsyth Solar - VIC,VIC,0.3009,3137,Solar,2019-05-30,Unsuspended,0,,2019,radio frequency systems kilsyth solar vic,radio frequency systems kilsyth solar,radio frequency systems kilsyth,solar,cer_historical_accredited_power_stations.csv
SRTHVC01,Raygen Power Plant Carwarp - Solar - VIC,VIC,7.6623,3494,Solar,2022-12-08,Unsuspended,0,,2022,raygen power plant carwarp solar vic,raygen power plant carwarp,raygen carwarp,solar,cer_historical_accredited_power_stations.csv
SRPXVC39,Real Utilities Epping No 1 - Solar - VIC,VIC,0.9,3076,Solar,2021-08-20,Unsuspended,0,,2021,real utilities epping no 1 solar vic,real utilities epping no 1,real utilities epping no 1,solar,cer_historical_accredited_power_stations.csv
SRPXVCF8,Redmud Green Energy 184 Pty Ltd - Solar - VIC,VIC,6.6953,3688,Solar,2024-09-18,Unsuspended,0,,2024,redmud green energy 184 pty ltd solar vic,redmud green energy 184,redmud green 184,solar,cer_historical_accredited_power_stations.csv
SRPVVCQ5,Redmud GreenEnergy 80 - Solar - VIC,VIC,0.3402,3525,Solar,2019-12-13,Unsuspended,0,,2019,redmud greenenergy 80 solar vic,redmud greenenergy 80,redmud greenenergy 80,solar,cer_historical_accredited_power_stations.csv
BEBMVC03,Reid Bros WW Biomass Generator - VIC,VIC,0.068,3797,Biomass,2012-01-30,Suspended,0,,2012,reid bros ww biomass generator vic,reid bros ww biomass generator,reid bros ww biomass generator,bioenergy,cer_historical_accredited_power_stations.csv
SRPVVCM1,Replas - Solar - VIC,VIC,0.1799,3350,Solar,2019-07-25,Unsuspended,0,,2019,replas solar vic,replas,replas,solar,cer_historical_accredited_power_stations.csv
SRPXVCN4,Rest Nominees - Solar wSGU - VIC,VIC,0.1188,3008,Solar,2024-09-20,Unsuspended,0,,2024,rest nominees solar wsgu vic,rest nominees,rest nominees,solar,cer_historical_accredited_power_stations.csv
SRPXVCD6,Rivercrest Christian College - Solar w SGU - VIC,VIC,0.1899,3978,Solar,2023-06-23,Unsuspended,0,,2023,rivercrest christian college solar w sgu vic,rivercrest christian college,rivercrest christian college,solar,cer_historical_accredited_power_stations.csv
SRPVVCW0,Robinvale Solar - Solar Energy - VIC,VIC,9.4696,3549,Solar,2020-06-23,Unsuspended,0,,2020,robinvale solar solar energy vic,robinvale solar,robinvale,solar,cer_historical_accredited_power_stations.csv
WD00VC16,Rocks Wind - VIC,VIC,0.1,3377,Wind,2013-03-21,Unsuspended,0,,2013,rocks wind vic,rocks wind,rocks,wind,cer_historical_accredited_power_stations.csv
SRPVVC93,Rollspack Solar - Vic,VIC,0.1728,3195,Solar,2018-04-30,Unsuspended,0,,2018,rollspack solar vic,rollspack solar,rollspack,solar,cer_historical_accredited_power_stations.csv
SRPXVCD0,Rosebud RSL Sub Branch Inc - Solar w SGU - VIC,VIC,0.2094,3939,Solar,2023-05-23,Unsuspended,0,,2023,rosebud rsl sub branch inc solar w sgu vic,rosebud rsl sub branch inc,rosebud rsl sub branch inc,solar,cer_historical_accredited_power_stations.csv
