measure_code,parent_description,description,abs_reference_year,value,state,measure_name,source_file
INCOME_3,Personal income in Australia - year ended 30 June,Total employee income ($m),2020,8726.4,NT,total_employee_income_million_aud,abs_ste_7_nt.csv
INCOME_3,Personal income in Australia - year ended 30 June,Total employee income ($m),2021,9123.6,NT,total_employee_income_million_aud,abs_ste_7_nt.csv
INCOME_3,Personal income in Australia - year ended 30 June,Total employee income ($m),2022,9706.8,NT,total_employee_income_million_aud,abs_ste_7_nt.csv
INCOME_4,Personal income in Australia - year ended 30 June,Employee income earners (no.),2018,133698.0,NT,employee_income_earners_count,abs_ste_7_nt.csv
INCOME_4,Personal income in Australia - year ended 30 June,Employee income earners (no.),2019,131421.0,NT,employee_income_earners_count,abs_ste_7_nt.csv
INCOME_4,Personal income in Australia - year ended 30 June,Employee income earners (no.),2020,130258.0,NT,employee_income_earners_count,abs_ste_7_nt.csv
INCOME_4,Personal income in Australia - year ended 30 June,Employee income earners (no.),2021,130686.0,NT,employee_income_earners_count,abs_ste_7_nt.csv
INCOME_4,Personal income in Australia - year ended 30 June,Employee income earners (no.),2022,134490.0,NT,employee_income_earners_count,abs_ste_7_nt.csv
CABEE_10,Business entries - year ended 30 June,Total number of business entries,2021,69333.0,QLD,business_entries_count,abs_ste_3_qld.csv
CABEE_10,Business entries - year ended 30 June,Total number of business entries,2022,79509.0,QLD,business_entries_count,abs_ste_3_qld.csv
CABEE_10,Business entries - year ended 30 June,Total number of business entries,2023,78605.0,QLD,business_entries_count,abs_ste_3_qld.csv
CABEE_10,Business entries - year ended 30 June,Total number of business entries,2024,80839.0,QLD,business_entries_count,abs_ste_3_qld.csv
CABEE_15,Business exits - year ended 30 June,Total number of business exits,2021,53450.0,QLD,business_exits_count,abs_ste_3_qld.csv
CABEE_15,Business exits - year ended 30 June,Total number of business exits,2022,59405.0,QLD,business_exits_count,abs_ste_3_qld.csv
CABEE_15,Business exits - year ended 30 June,Total number of business exits,2023,69394.0,QLD,business_exits_count,abs_ste_3_qld.csv
CABEE_15,Business exits - year ended 30 June,Total number of business exits,2024,68816.0,QLD,business_exits_count,abs_ste_3_qld.csv
CABEE_23,Number of businesses by industry - at 30 June,"Electricity, gas, water and waste services (no.)",2020,1400.0,QLD,utilities_businesses_count,abs_ste_3_qld.csv
CABEE_23,Number of businesses by industry - at 30 June,"Electricity, gas, water and waste services (no.)",2021,1451.0,QLD,utilities_businesses_count,abs_ste_3_qld.csv
CABEE_23,Number of businesses by industry - at 30 June,"Electricity, gas, water and waste services (no.)",2022,1530.0,QLD,utilities_businesses_count,abs_ste_3_qld.csv
CABEE_23,Number of businesses by industry - at 30 June,"Electricity, gas, water and waste services (no.)",2023,1601.0,QLD,utilities_businesses_count,abs_ste_3_qld.csv
CABEE_23,Number of businesses by industry - at 30 June,"Electricity, gas, water and waste services (no.)",2024,1632.0,QLD,utilities_businesses_count,abs_ste_3_qld.csv
